24-05-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,23073.00
24-05-2024,MITANSH SURGICAL (P),851.00
25-05-2024,MAA CHANDRA PHARMA(P),2996.00
25-05-2024,PRANAV SURGICALS,5040.00
25-05-2024,PRACHI SURGICARE,7252.00
25-05-2024,WEST INDIA LIFESCIENCE,6429.00
25-05-2024,WEST INDIA LIFESCIENCE,14577.00
27-05-2024,ASTRID HEALTHCARE LLP,15904.00
27-05-2024,KAVYA DISTRIBUTORS,17010.00
27-05-2024,WEST INDIA LIFESCIENCE,9088.00
28-05-2024,MITANSH SURGICAL (P),4256.00
28-05-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,28380.00
28-05-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,45075.00
28-05-2024,PRANAV ENTERPRISE,36534.00
29-05-2024,PRANAV SURGICALS,20499.00
29-05-2024,MITANSH SURGICAL (P),1369.00
29-05-2024,KAPOOR MEDICAL SOLUTION,30643.00
29-05-2024,PRANAV ENTERPRISE,6608.00
29-05-2024,ZEAL PHARMACEUTICALS DISTRIBUTORS,10976.00
31-05-2024,WEST INDIA LIFESCIENCE,20842.00
31-05-2024,REVIVE ENTERPRISE,14314.00
31-05-2024,MITANSH SURGICAL (P),9419.00
01-06-2024,FUSION DISTRIBUTORS(P),18036.00
01-06-2024,SWAMI ORTHO AIDS,75520.00
01-06-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,52882.00
01-06-2024,MAA CHANDRA PHARMA(P),506.00
04-06-2024,KAVYA DISTRIBUTORS,2164.00
05-06-2024,DIAGNO PHARMA(P),2257.00
06-06-2024,MITANSH SURGICAL (P),1439.00
07-06-2024,ASTRID HEALTHCARE LLP,25357.00
08-06-2024,SWISS MEDICAL STORES(P),2654.00
08-06-2024,MAA CHANDRA PHARMA(P),560.00
08-06-2024,INJECTION DEPO(P),269.00
08-06-2024,MITANSH SURGICAL (P),1369.00
08-06-2024,P D PHARMA(P),1834.00
11-06-2024,KESHAV DISTRIBUTOR,5488.00
11-06-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,33425.00
11-06-2024,KAVYA DISTRIBUTORS,511.00
12-06-2024,GALAXY MEDICO (NEW) P,3584.00
12-06-2024,TOUCH SAFE SURGICAL,2934.00
12-06-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,29736.00
13-06-2024,KESHAV DISTRIBUTOR,10976.00
13-06-2024,PRANAV SURGICALS,7840.00
15-06-2024,TOUCH SAFE SURGICAL,105000.00
15-06-2024,KAVYA DISTRIBUTORS,3920.00
15-06-2024,PROMEA THERAPEUTICS PRIVATE LIMITED,667008.00
18-06-2024,STAR INDIA TRADING,9975.00
18-06-2024,ASTRID HEALTHCARE LLP,50892.00
18-06-2024,P D PHARMA(P),1165.00
18-06-2024,PRANAV ENTERPRISE,5796.00
19-06-2024,TOUCH SAFE SURGICAL,36750.00
20-06-2024,BIOSURGE HEALTHCARE INDIA PVT.LTD,6272.00
20-06-2024,BIOSURGE HEALTHCARE INDIA PVT.LTD,12544.00
21-06-2024,MOREPEN LABORATORIES LIMITED,227662.00
21-06-2024,PRANAV ENTERPRISE,6608.00
22-06-2024,TOUCH SAFE SURGICAL,678.00
22-06-2024,PRACHI SURGICARE,11760.00
22-06-2024,GALAXY MEDICO (NEW) P,44800.00
22-06-2024,MAA CHANDRA PHARMA(P),530.00
22-06-2024,MAA CHANDRA PHARMA(P),1568.00
22-06-2024,SWISS MEDICAL STORES(P),1328.00
22-06-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,44500.00
24-06-2024,P D PHARMA(P),1129.00
24-06-2024,KAVYA DISTRIBUTORS,7818.00
24-06-2024,FUSION DISTRIBUTORS(P),18332.00
26-06-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,19480.00
26-06-2024,BIOSURGE HEALTHCARE INDIA PVT.LTD,12544.00
26-06-2024,PRACHI SURGICARE,14322.00
26-06-2024,WEST INDIA LIFESCIENCE,5198.00
27-06-2024,REVIVE ENTERPRISE,11451.00
27-06-2024,SOLLAR BIO LFE,2268.00
27-06-2024,KAVYA DISTRIBUTORS,4525.00
28-06-2024,ASTRID HEALTHCARE LLP,16240.00
29-06-2024,TOUCH SAFE SURGICAL,1467.00
29-06-2024,UDAY SURGIPHARMA(P),1801.00
